clay,sand,silt,label,code,x,y
35,65,0,Clayey,C,17.5,35
35,0,65,Clayey,C,82.5,35
100,0,0,Clayey,C,50,100
8,92,0,Loamy,L,4,8
8,52,40,Loamy,L,44,8
35,25,40,Loamy,L,57.5,35
35,65,0,Loamy,L,17.5,35
0,60,40,Silty,Z,40,0
0,0,100,Silty,Z,100,0
35,0,65,Silty,Z,82.5,35
35,25,40,Silty,Z,57.5,35
0,100,0,Sandy,S,0,0
0,60,40,Sandy,S,40,0
8,52,40,Sandy,S,44,8
8,92,0,Sandy,S,4,8
